2, 0x7300, 0x567d, 0x7f40, 0x7d, 0x5d, -15.588, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xbf, -15.6013, -1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x7a, -15.612, 1
2, 0x5200, 0x77cc, 0x7f40, 0xcc, 0xcc, -15.6214, 1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x45, -15.625, 1
2, 0x7200, 0x5b76, 0x7f40, 0x16, 0x14, -15.6337, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0x9a, -15.6446, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xbf, -15.6446, 1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x5f, -15.6557, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xa1, 0xf1, -15.6564, 1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x46, -15.6601, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xda, -15.6668, -1
2, 0x5300, 0x764d, 0x7f40, 0x4d, 0x6d, -15.6696, 1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x8c, -15.6894, -1
2, 0x7200, 0x57fc, 0x7f40, 0xfc, 0xb8, -15.6908, -1
2, 0x5b00, 0x5af7, 0x7f40, 0xf7, 0xbd, -15.7054, 1
2, 0x5a00, 0x73ca, 0x7f40, 0xaa, 0xea, -15.7065, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xaf, -15.7123, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xbe, -15.7123, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xa1, 0xe1, -15.7202, -1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x74, -15.7268, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x7a, -15.7268, -1
2, 0x5a00, 0x5b76, 0x7f40, 0x76, 0x75, -15.7332, -1
2, 0x5200, 0x7b46, 0x7f40, 0x26, 0x26, -15.7473, 1
2, 0x5200, 0x7b46, 0x7f40, 0x46, 0x74, -15.7473, 1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x44, -15.7473, 1
2, 0x5b00, 0x567d, 0x7f40, 0x7d, 0x79, -15.7592, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xfa, -15.7592, 1
2, 0x7b00, 0x5b76, 0x7f40, 0x76, 0x7a, -15.764, -1
2, 0x5a00, 0x7f40, 0x7f40, 0x20, 0x28, -15.7802, 1
2, 0x7b00, 0x5b76, 0x7f40, 0x16, 0x14, -15.7857, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xa9, -15.7939, -1
2, 0x7b00, 0x73ca, 0x7f40, 0xca, 0x8f, -15.7954, -1
2, 0x7b00, 0x5b76, 0x7f40, 0x76, 0x5f, -15.8077, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xb3, -15.8077, -1
2, 0x5a00, 0x79c5, 0x7f40, 0xc5, 0xc7, -15.8244, -1
2, 0x5300, 0x5ef1, 0x7f40, 0xf1, 0xa1, -15.8263, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xe3, -15.8326, -1
2, 0x5a00, 0x5f70, 0x5f70, 0x10, 0x10, -15.8357, -1
2, 0x5a00, 0x7f40, 0x7f40, 0x10, 0x10, -15.8357, -1
2, 0x5300, 0x73ca, 0x7f40, 0xca, 0xcf, -15.8389, -1
2, 0x5b00, 0x724b, 0x7f40, 0x4b, 0x5a, -15.8452, -1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x5b, -15.8452, -1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x6a, -15.8452, 1
2, 0x5300, 0x73ca, 0x7f40, 0xca, 0xce, -15.8643, 1
2, 0x5300, 0x6e59, 0x7f40, 0x59, 0x79, -15.8772, -1
2, 0x7b00, 0x6e59, 0x7f40, 0x59, 0x79, -15.8772, 1
2, 0x7200, 0x5179, 0x7f40, 0x79, 0x59, -15.8772, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x89, -15.8837, 1
0, 0x7200, 0x52a4, 0x4080, 0xa4, 0xc6, -15.8863, 1
0, 0x5200, 0x72e4, 0x4080, 0xe4, 0x86, -15.8863, -1
2, 0x5b00, 0x724b, 0x7f40, 0x2b, 0x3b, -15.8967, 1
2, 0x5b00, 0x7b46, 0x7f40, 0x26, 0x26, -15.8993, -1
2, 0x5b00, 0x7b46, 0x7f40, 0x46, 0x74, -15.8993, -1
2, 0x7b00, 0x5b76, 0x7f40, 0x76, 0x44, -15.8993, -1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xf1, -15.9082, 1
2, 0x5b00, 0x567d, 0x7f40, 0x7d, 0x5d, -15.9099, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x88, -15.9099, 1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0x95, -15.9099, 1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xe7, -15.9099, -1
2, 0x5b00, 0x7844, 0x7f40, 0x44, 0x46, -15.9112, -1
2, 0x5200, 0x77cc, 0x7f40, 0xcc, 0xe8, -15.9215, -1
2, 0x5b00, 0x5af7, 0x7f40, 0xf7, 0xbf, -15.9232, -1
2, 0x7a00, 0x59f5, 0x7f40, 0xf5, 0xf7, -15.9292, 1
2, 0x5a00, 0x5b76, 0x7f40, 0x76, 0x7a, -15.9339, 1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xdf, -15.9366, 1
2, 0x7a00, 0x77cc, 0x7f40, 0xcc, 0xcc, -15.9434, -1
0, 0x7200, 0x52a4, 0x4080, 0xa4, 0xb4, -15.9502, 1
0, 0x5200, 0x72e4, 0x4080, 0xe4, 0xf4, -15.9502, 1
2, 0x5a00, 0x5f70, 0x5f70, 0x10, 0x18, -15.9536, 1
2, 0x5a00, 0x7f40, 0x7f40, 0x10, 0x18, -15.9536, 1
2, 0x5a00, 0x5b76, 0x7f40, 0x16, 0x14, -15.9556, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xa4, -15.9638, 1
2, 0x5a00, 0x5b76, 0x7f40, 0x76, 0x5f, -15.9776, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x10, 0x1c, -15.9846, 1
2, 0x7b00, 0x764d, 0x7f40, 0x4d, 0x6d, -15.9916, -1
2, 0x5200, 0x4bee, 0x7f40, 0xee, 0xae, -15.9944, 1
2, 0x7a00, 0x4bee, 0x7f40, 0xee, 0xae, -15.9944, -1
